brand,name,sub_name,country,price,shipping,link
Audemars Piguet,Audemars Piguet Royal Oak Offshore Chronograph,"""Bumblebee"" Carbon 26176FO.OO.D101CR.02",US,"$29,800",$149,https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-offshore-bumblebee-carbon-26176foood101cr02--id24375208.htm
Audemars Piguet,Audemars Piguet Royal Oak Perpetual Calendar,Openworked Audemars Piguet Royal Oak Perpetual Calendar 26585,US,"$499,990",Free shipping,https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-perpetual-calendar-openworked-audemars-piguet-royal-oak-perpetual-calendar-26585--id24988460.htm
Audemars Piguet,Audemars Piguet Royal Oak,26591TI Minute Repeater Titanium Salmon Dial,US,Price on request,Free shipping,https://www.chrono24.com/audemarspiguet/royal-oak-26591ti-minute-repeater-titanium-salmon-dial--id28007966.htm
Audemars Piguet,Audemars Piguet Royal Oak Chronograph,"NEW 2022 Royal Oak Chronograph 50th Anniversary ""50th Dial",US,"$174,999",$200,https://www.chrono24.com/audemarspiguet/audemars-piguet-new-2022-royal-oak-chronograph-50th-anniversary-50th-dial--id24265205.htm
Audemars Piguet,Audemars Piguet Royal Oak Selfwinding,NEW for 2023 Royal Oak Selfwinding Rose Gold Rotor,US,"$59,900",$229,https://www.chrono24.com/audemarspiguet/audemars-piguet-new-for-2023-royal-oak-selfwinding-rose-gold-rotor--id27141443.htm
Audemars Piguet,Audemars Piguet Royal Oak Offshore Chronograph,26400IO.OO.A004CA.02,US,"$40,000",$99,https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-offshore-chronograph-26400ioooa004ca02--id26038159.htm
Audemars Piguet,Audemars Piguet Royal Oak Offshore Diver,Grey Rubber 42mm Box/Papers/Card 15720ST,US,"$32,500",$200,https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-offshore-diver-grey-rubber-42mm-boxpaperscard-15720st--id28126598.htm
Audemars Piguet,Audemars Piguet,Tourbillon Automatic Extra Thin Vintage,US,"$42,000",$149,https://www.chrono24.com/audemarspiguet/audemars-piguet-tourbillon-automatic-extra-thin-vintage--id23646181.htm
Audemars Piguet,Audemars Piguet Royal Oak Offshore,Selfwinding - Music Edition limited of 250 15600CE,US,"$79,999",Free shipping,https://www.chrono24.com/audemarspiguet/audemars-piguet-audemars-piguet-royal-oak-offshore-selfwinding---music-edition-limited-of-250-15600ce--id25319432.htm
Audemars Piguet,Audemars Piguet Royal Oak Offshore,26238TI Titanium Green Arabic Dial,US,"$48,799",Free shipping,https://www.chrono24.com/audemarspiguet/royal-oak-offshore-26238ti-titanium-green-arabic-dial--id27940476.htm
Audemars Piguet,Audemars Piguet Royal Oak Jumbo,18K White Gold Extra Thin Salmon Dial,US,"$149,000",Free shipping,https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-jumbo-18k-white-gold-extra-thin-salmon-dial--id12909388.htm
Audemars Piguet,Audemars Piguet Royal Oak Offshore Chronograph,Yellow Gold Brick Chronograph serviced and under warranty,US,"$88,000",$250,https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-offshore-yellow-gold-brick-chronograph-serviced-and-under-warranty--id26470772.htm
Audemars Piguet,Audemars Piguet Royal Oak Chronograph,"Selfwinding Chronograph ""50th Anniversary"" 26240OR.OO.D315CR.01",US,"$94,999",$200,https://www.chrono24.com/audemarspiguet/audemars-piguet-royal-oak-selfwinding-chronograph-50th-anniversary-26240orood315cr01--id23917955.htm
