brand,url,total_items,total_pages
A. Lange & Söhne,https://www.chrono24.com/alangesoehne/index.htm,"1,262",22
ABP Paris,https://www.chrono24.com/abpparis/index.htm,0,0
AD-Chronographen,https://www.chrono24.com/adchronographen/index.htm,0,0
Aerowatch,https://www.chrono24.com/aerowatch/index.htm,77,2
Aigle,https://www.chrono24.com/aigle/index.htm,1,1
Aigner,https://www.chrono24.com/aigner/index.htm,16,1
Alain Silberstein,https://www.chrono24.com/alainsilberstein/index.htm,83,2
Alexander Shorokhoff,https://www.chrono24.com/alexandershorokhoff/index.htm,189,4
Alfred Dunhill,https://www.chrono24.com/alfreddunhill/index.htm,75,2
Alfred Rochat & Fils,https://www.chrono24.com/alfredrochatfils/index.htm,7,1
Alpina,https://www.chrono24.com/alpina/index.htm,"1,186",20
Andersen Genève,https://www.chrono24.com/andersengenve/index.htm,5,1
Andreas Strehler,https://www.chrono24.com/andreasstrehler/index.htm,0,0
Angelus,https://www.chrono24.com/angelus/index.htm,103,2
Angular Momentum,https://www.chrono24.com/angularmomentum/index.htm,33,1
Anonimo,https://www.chrono24.com/anonimo/index.htm,206,4
Apple,https://www.chrono24.com/apple/index.htm,9,1
Aquanautic,https://www.chrono24.com/aquanautic/index.htm,47,1
Aquastar,https://www.chrono24.com/aquastar/index.htm,68,2
Aristo,https://www.chrono24.com/aristo/index.htm,51,1
Armand Nicolet,https://www.chrono24.com/armandnicolet/index.htm,570,10
Armani,https://www.chrono24.com/armani/index.htm,719,12
Armin Strom,https://www.chrono24.com/arminstrom/index.htm,26,1
Arnold & Son,https://www.chrono24.com/arnoldson/index.htm,123,3
Artisanal,https://www.chrono24.com/artisanal/index.htm,1,1
Artya,https://www.chrono24.com/artya/index.htm,35,1
Askania,https://www.chrono24.com/askania/index.htm,30,1
Ateliers deMonaco,https://www.chrono24.com/ateliersdemonaco/index.htm,10,1
Atlantic,https://www.chrono24.com/atlantic/index.htm,249,5
Audemars Piguet,https://www.chrono24.com/audemarspiguet/index.htm,"13,039",218
Auguste Reymond,https://www.chrono24.com/augustereymond/index.htm,65,2
Auricoste,https://www.chrono24.com/auricoste/index.htm,8,1
Avier,https://www.chrono24.com/avier/index.htm,0,0
Azimuth,https://www.chrono24.com/azimuth/index.htm,84,2
Azzaro,https://www.chrono24.com/azzaro/index.htm,3,1
B.R.M,https://www.chrono24.com/brm/index.htm,302,6
Ball,https://www.chrono24.com/ball/index.htm,"1,094",19
Balmain,https://www.chrono24.com/balmain/index.htm,16,1
Baltic,https://www.chrono24.com/baltic/index.htm,76,2
Barington,https://www.chrono24.com/barington/index.htm,0,0
Baume & Mercier,https://www.chrono24.com/baumemercier/index.htm,"5,538",93
Bedat & Co,https://www.chrono24.com/bedatco/index.htm,105,2
Behrens,https://www.chrono24.com/behrens/index.htm,34,1
Bell & Ross,https://www.chrono24.com/bellross/index.htm,"2,701",46
Benrus,https://www.chrono24.com/benrus/index.htm,102,2
Benzinger,https://www.chrono24.com/benzinger/index.htm,55,1
Berne,https://www.chrono24.com/berne/index.htm,0,0
Bertolucci,https://www.chrono24.com/bertolucci/index.htm,34,1
Beuchat,https://www.chrono24.com/beuchat/index.htm,2,1
Bifora,https://www.chrono24.com/bifora/index.htm,29,1
Black-Out Concept,https://www.chrono24.com/blackoutconcept/index.htm,44,1
Blacksand,https://www.chrono24.com/blacksand/index.htm,0,0
Blancier,https://www.chrono24.com/blancier/index.htm,0,0
Blancpain,https://www.chrono24.com/blancpain/index.htm,"3,599",60
blu,https://www.chrono24.com/blu/index.htm,16,1
Boegli,https://www.chrono24.com/boegli/index.htm,7,1
Bogner Time,https://www.chrono24.com/bognertime/index.htm,1,1
Boldr,https://www.chrono24.com/boldr/index.htm,85,2
Bomberg,https://www.chrono24.com/bomberg/index.htm,211,4
Borgeaud,https://www.chrono24.com/borgeaud/index.htm,0,0
Boucheron,https://www.chrono24.com/boucheron/index.htm,195,4
Bovet,https://www.chrono24.com/bovet/index.htm,166,3
Breguet,https://www.chrono24.com/breguet/index.htm,"3,729",63
Breil,https://www.chrono24.com/breil/index.htm,120,2
Breitling,https://www.chrono24.com/breitling/index.htm,"17,185",287
Bremont,https://www.chrono24.com/bremont/index.htm,252,5
Brior,https://www.chrono24.com/brior/index.htm,0,0
Bruno Söhnle,https://www.chrono24.com/brunosoehnle/index.htm,696,12
Bulgari,https://www.chrono24.com/bulgari/index.htm,"5,280",88
Bulova,https://www.chrono24.com/bulova/index.htm,"3,032",51
Bunz,https://www.chrono24.com/bunz/index.htm,21,1
Burberry,https://www.chrono24.com/burberry/index.htm,192,4
BWC-Swiss,https://www.chrono24.com/bwcswiss/index.htm,105,2
C.H. Wolf,https://www.chrono24.com/chwolf/index.htm,2,1
Cabestan,https://www.chrono24.com/cabestan/index.htm,3,1
Cadet Chronostar,https://www.chrono24.com/cadetchronostar/index.htm,1,1
Camel Active,https://www.chrono24.com/camelactive/index.htm,8,1
Camille Fournet,https://www.chrono24.com/camillefournet/index.htm,1,1
Candino,https://www.chrono24.com/candino/index.htm,47,1
Carl F. Bucherer,https://www.chrono24.com/carlfbucherer/index.htm,414,7
Carlo Ferrara,https://www.chrono24.com/carloferrara/index.htm,10,1
Carlo Maroni,https://www.chrono24.com/carlomaroni/index.htm,0,0
Cartier,https://www.chrono24.com/cartier/index.htm,"17,041",285
Casio,https://www.chrono24.com/casio/index.htm,"8,375",140
Catamaran,https://www.chrono24.com/catamaran/index.htm,0,0
Catena,https://www.chrono24.com/catena/index.htm,8,1
Catorex,https://www.chrono24.com/catorex/index.htm,3,1
Cattin,https://www.chrono24.com/cattin/index.htm,2,1
Century,https://www.chrono24.com/century/index.htm,90,2
Cerruti,https://www.chrono24.com/cerruti/index.htm,39,1
Certina,https://www.chrono24.com/certina/index.htm,"1,358",23
Chanel,https://www.chrono24.com/chanel/index.htm,"2,677",45
Charmex,https://www.chrono24.com/charmex/index.htm,5,1
Charriol,https://www.chrono24.com/charriol/index.htm,225,4
Chase-Durer,https://www.chrono24.com/chasedurer/index.htm,20,1
Chaumet,https://www.chrono24.com/chaumet/index.htm,351,6
Chopard,https://www.chrono24.com/chopard/index.htm,"7,438",124
Chris Benz,https://www.chrono24.com/chrisbenz/index.htm,209,4
Christiaan v.d. Klaauw,https://www.chrono24.com/christiaanvdklaauw/index.htm,34,1
Christofle,https://www.chrono24.com/christofle/index.htm,1,1
Christophe Claret,https://www.chrono24.com/christopheclaret/index.htm,17,1
Christopher Ward,https://www.chrono24.com/christopherward/index.htm,105,2
Chronographe Suisse Cie,https://www.chrono24.com/chronographesuissecie/index.htm,87,2
Chronoswiss,https://www.chrono24.com/chronoswiss/index.htm,488,9
Churpfälzische Uhrenmanufaktur,https://www.chrono24.com/churpfaelzischeuhrenmanufaktur/index.htm,1,1
Citizen,https://www.chrono24.com/citizen/index.htm,"9,698",162
ck Calvin Klein,https://www.chrono24.com/ckcalvinklein/index.htm,491,9
Claude Bernard,https://www.chrono24.com/claudebernard/index.htm,71,2
Claude Meylan,https://www.chrono24.com/claudemeylan/index.htm,60,1
Clerc,https://www.chrono24.com/clerc/index.htm,67,2
Concord,https://www.chrono24.com/concord/index.htm,368,7
Condor,https://www.chrono24.com/condor/index.htm,12,1
Cornehl,https://www.chrono24.com/cornehl/index.htm,20,1
Cornelius & Cie,https://www.chrono24.com/corneliuscie/index.htm,0,0
Cortébert,https://www.chrono24.com/cortebert/index.htm,54,1
Corum,https://www.chrono24.com/corum/index.htm,"2,035",34
Creo,https://www.chrono24.com/creo/index.htm,0,0
Crockett & Jones,https://www.chrono24.com/crockettjones/index.htm,0,0
Cronus,https://www.chrono24.com/cronus/index.htm,8,1
Cuervo y Sobrinos,https://www.chrono24.com/cuervoysobrinos/index.htm,276,5
Cvstos,https://www.chrono24.com/cvstos/index.htm,324,6
CWC,https://www.chrono24.com/cwc/index.htm,45,1
Cyclos,https://www.chrono24.com/cyclos/index.htm,1,1
Cyma,https://www.chrono24.com/cyma/index.htm,373,7
Cyrus,https://www.chrono24.com/cyrus/index.htm,28,1
